,id,calculatedfinishedsquarefeet,bedroomcnt,bathroomcnt,taxvaluedollarcnt
0,1018,1819.0,3.0,2.0,478430.0
1,1248,1000.0,0.0,0.0,27400.0
2,1734,1503.0,2.0,2.0,171687.0
3,1772,1604.0,4.0,2.0,498347.0
4,2028,2384.0,3.0,3.0,549917.0
5,3273,1574.0,3.0,2.0,235272.0
6,3429,1619.0,2.0,2.0,340000.0
7,3908,1936.0,3.0,3.0,418146.0
8,4254,1504.0,2.0,3.0,824240.0
9,4458,1658.0,2.0,2.0,450732.0
10,4505,2408.0,2.0,3.0,2017254.0
11,4527,4399.0,5.0,5.0,3634725.0
12,7764,1263.0,3.0,2.0,66220.0
13,7897,2292.0,4.0,3.0,331065.0
14,7912,1330.0,3.0,1.0,595000.0
15,8552,850.0,2.0,1.0,285180.0
16,8879,920.0,2.0,1.0,49719.0
17,9833,754.0,1.0,1.0,25210.0
18,10803,949.0,2.0,2.0,50102.0
19,12420,1090.0,2.0,2.0,290614.0
20,13065,989.0,2.0,2.0,140326.0
21,13098,737.0,1.0,1.0,180376.0
22,13665,2625.0,4.0,2.5,798376.0
23,13914,1733.0,3.0,2.5,513000.0
24,14028,1985.0,3.0,2.5,623363.0
25,14034,1289.0,2.0,2.5,720827.0
26,14311,2505.0,4.0,3.0,829744.0
27,15181,3715.0,3.0,3.0,1222271.0
28,15210,912.0,2.0,1.0,126974.0
29,15822,3404.0,5.0,4.0,859354.0
30,16193,6014.0,6.0,5.0,1335281.0
31,16213,1243.0,1.0,2.0,434000.0
32,16443,2444.0,6.0,3.0,570000.0
33,16844,1748.0,4.0,3.0,224273.0
34,17099,1666.0,3.0,2.0,312191.0
35,17549,1169.0,3.0,2.0,405083.0
36,19059,1284.0,2.0,2.0,80933.0
37,21510,998.0,2.0,1.0,174459.0
38,23996,1399.0,3.0,2.0,215299.0
39,27062,4958.0,5.0,3.5,465753.0
40,27707,1854.0,4.0,2.5,253588.0
41,28585,1857.0,3.0,2.5,709659.0
42,29064,3279.0,5.0,4.0,221860.0
43,29346,1490.0,2.0,2.0,692644.0
44,29399,1530.0,3.0,3.0,442641.0
45,29466,950.0,2.0,2.0,169911.0
46,30411,1896.0,4.0,2.0,94711.0
47,32247,1804.0,4.0,2.0,705000.0
48,33564,1468.0,4.0,2.0,265036.0
49,37107,1394.0,3.0,2.0,229707.0
50,38851,1318.0,3.0,2.0,486296.0
51,38950,1400.0,3.0,2.0,57585.0
52,42063,2416.0,3.0,3.0,384026.0
53,42064,1477.0,3.0,2.5,365951.0
54,42065,2046.0,4.0,2.5,286274.0
55,42066,2882.0,5.0,3.0,399123.0
56,42067,1471.0,4.0,2.5,490682.0
57,42068,1488.0,3.0,2.5,224263.0
58,42069,1210.0,3.0,2.0,311853.0
59,42070,2606.0,4.0,3.0,415798.0
60,42071,2146.0,3.0,3.0,588197.0
61,42072,3887.0,5.0,4.0,723049.0
62,42073,2378.0,3.0,2.5,384166.0
63,42074,2009.0,3.0,2.5,371770.0
64,42075,1653.0,3.0,2.5,277688.0
65,42076,2090.0,4.0,3.0,306181.0
66,42077,2505.0,5.0,3.0,397163.0
67,42078,1658.0,3.0,2.0,623000.0
68,42079,1573.0,3.0,2.5,605000.0
69,42080,1899.0,4.0,2.5,564370.0
70,42081,1899.0,4.0,2.5,663000.0
71,42082,1329.0,3.0,2.0,512039.0
72,42083,2178.0,4.0,3.0,599723.0
73,42084,2136.0,4.0,3.0,403321.0
74,42085,2136.0,4.0,3.0,392340.0
75,42086,2701.0,4.0,3.0,582980.0
76,42087,2328.0,4.0,3.0,504665.0
77,42088,2246.0,4.0,3.0,450335.0
78,42089,2297.0,4.0,3.0,528245.0
79,42090,2509.0,4.0,3.0,444778.0
80,42091,1564.0,3.0,2.5,489519.0
81,42092,1106.0,2.0,2.0,248300.0
82,42093,2655.0,4.0,3.0,364588.0
83,42094,2814.0,3.0,3.0,910000.0
84,42095,2490.0,5.0,3.0,709659.0
85,42096,1920.0,4.0,2.0,247552.0
86,42097,2122.0,4.0,2.5,575906.0
87,42098,1677.0,3.0,2.0,557363.0
88,42099,2693.0,4.0,3.5,370267.0
89,42100,3146.0,4.0,2.5,717000.0
90,42101,2161.0,4.0,2.5,573802.0
91,42102,1392.0,3.0,2.5,186667.0
92,42103,3175.0,4.0,3.0,973474.0
93,42104,2260.0,4.0,2.5,288720.0
94,42105,1400.0,4.0,2.0,237481.0
95,42106,2124.0,4.0,2.5,613634.0
96,42107,2244.0,4.0,2.5,566887.0
97,42108,1823.0,3.0,2.0,305580.0
98,42109,1684.0,3.0,2.0,368842.0
99,42110,3081.0,4.0,3.0,219015.0
100,42111,2467.0,4.0,2.5,551324.0
101,42112,1904.0,4.0,2.5,311711.0
102,42113,1585.0,3.0,2.0,392627.0
103,42114,1120.0,3.0,2.0,238739.0
104,42115,1456.0,3.0,2.0,520872.0
105,42116,1309.0,3.0,2.0,132879.0
106,42117,1214.0,3.0,2.0,220315.0
107,42118,1779.0,3.0,2.0,454548.0
108,42119,1365.0,3.0,2.0,91189.0
109,42120,2120.0,4.0,2.0,447300.0
110,42121,1895.0,3.0,2.0,405847.0
111,42122,1552.0,3.0,2.5,570047.0
112,42123,1224.0,3.0,2.0,425256.0
113,42124,1224.0,3.0,2.0,294719.0
114,42125,1344.0,3.0,2.0,488212.0
115,42126,2058.0,4.0,2.5,413683.0
116,42127,1540.0,4.0,2.0,238098.0
117,42128,2546.0,2.0,1.0,356669.0
118,42129,1904.0,4.0,2.5,291711.0
119,42130,1430.0,2.0,3.0,258637.0
120,42131,2918.0,4.0,3.0,245869.0
121,42132,2972.0,4.0,3.0,107657.0
122,42133,2253.0,3.0,2.0,97549.0
123,42134,2167.0,4.0,2.0,344863.0
124,42135,1872.0,4.0,2.0,266786.0
125,42136,2396.0,6.0,4.0,655616.0
126,42137,1442.0,4.0,2.0,258701.0
127,42138,2510.0,4.0,3.0,664988.0
128,42139,2370.0,4.0,3.0,469219.0
129,42140,2800.0,4.0,3.0,192533.0
130,42141,2749.0,6.0,3.0,509714.0
131,42142,2105.0,3.0,2.5,120058.0
132,42143,1491.0,3.0,2.0,510000.0
133,42144,1781.0,4.0,2.5,455490.0
134,42145,1845.0,5.0,3.0,362880.0
135,42146,1895.0,4.0,2.0,301560.0
136,42147,2157.0,3.0,2.5,693484.0
137,42148,3080.0,4.0,3.0,439171.0
138,42149,1665.0,3.0,2.5,741132.0
139,42150,1781.0,3.0,2.5,378038.0
140,42151,2005.0,4.0,3.0,315422.0
141,42152,1546.0,4.0,3.0,446234.0
142,42153,1512.0,3.0,2.5,262277.0
143,42154,1838.0,3.0,2.5,615000.0
144,42155,2046.0,3.0,3.0,681823.0
145,42156,1838.0,3.0,2.5,565666.0
146,42157,1464.0,3.0,2.5,520117.0
147,42158,2625.0,5.0,3.0,446274.0
148,42159,1839.0,3.0,2.5,407347.0
149,42160,2435.0,3.0,3.0,681353.0
150,42161,2026.0,4.0,2.5,348849.0
151,42162,1822.0,4.0,2.5,301509.0
152,42163,2858.0,4.0,2.5,385037.0
153,42164,3359.0,4.0,3.0,283701.0
154,42165,2383.0,3.0,2.5,265693.0
155,42166,3274.0,5.0,3.5,547280.0
156,42167,4036.0,4.0,3.0,469525.0
157,42168,1879.0,2.0,2.5,348601.0
158,42169,1650.0,3.0,2.0,353813.0
159,42170,2371.0,4.0,3.0,326875.0
160,42171,1769.0,3.0,2.5,262813.0
161,42172,3353.0,4.0,3.0,954935.0
162,42173,4589.0,5.0,4.5,1465000.0
163,42174,4049.0,4.0,4.0,1352305.0
164,42175,4658.0,4.0,3.0,841908.0
165,42176,7276.0,5.0,5.5,1801232.0
166,42177,3204.0,4.0,3.0,738115.0
167,42178,3299.0,5.0,3.5,1218706.0
168,42179,3221.0,5.0,3.5,929710.0
169,42180,3334.0,5.0,3.0,1088883.0
170,42181,3656.0,4.0,4.0,1271000.0
171,42182,1707.0,4.0,2.5,657000.0
172,42183,2081.0,4.0,3.0,351736.0
173,42184,1809.0,3.0,2.5,464600.0
174,42185,3004.0,5.0,3.0,1061024.0
175,42186,2525.0,4.0,3.0,623776.0
176,42187,2068.0,3.0,2.5,787000.0
177,42188,1933.0,4.0,2.5,366090.0
178,42189,1661.0,4.0,2.5,685000.0
179,42190,1415.0,3.0,3.0,489380.0
180,42191,2273.0,5.0,3.5,785000.0
181,42192,2106.0,5.0,3.0,317665.0
182,42193,2101.0,4.0,3.0,477330.0
183,42194,918.0,2.0,1.0,176258.0
184,42195,1174.0,3.0,1.5,364507.0
185,42196,1174.0,3.0,1.5,198782.0
186,42197,2165.0,4.0,3.0,738000.0
187,42198,2165.0,4.0,3.0,524426.0
188,42199,1364.0,3.0,2.0,586413.0
189,42200,4493.0,5.0,4.5,828068.0
190,42201,2264.0,3.0,2.5,351478.0
191,42202,2112.0,3.0,2.5,880204.0
192,42203,3329.0,5.0,4.0,858895.0
193,42204,2277.0,4.0,3.0,516478.0
194,42205,2718.0,4.0,3.0,583832.0
195,42206,2414.0,4.0,3.0,993929.0
196,42207,3565.0,4.0,3.5,1355000.0
197,42208,2402.0,3.0,2.0,464509.0
198,42209,1344.0,3.0,2.0,272706.0
199,42210,1738.0,4.0,2.0,721225.0
200,42211,2076.0,4.0,2.0,407510.0
201,42212,2143.0,4.0,3.0,334758.0
202,42213,2202.0,4.0,3.0,329843.0
203,42214,3061.0,4.0,3.0,546638.0
204,42215,2303.0,3.0,3.0,750634.0
205,42216,4012.0,3.0,4.5,1271343.0
206,42217,3287.0,4.0,3.0,2390139.0
207,42218,5506.0,4.0,5.5,4494428.0
208,42219,694.0,1.0,1.0,721898.0
209,42220,1913.0,3.0,2.0,502327.0
210,42221,3635.0,4.0,3.5,519954.0
211,42222,3622.0,3.0,3.0,668358.0
212,42223,2610.0,3.0,4.0,736478.0
213,42224,4321.0,3.0,5.0,3084444.0
214,42225,756.0,1.0,1.0,104363.0
215,42227,1089.0,3.0,1.0,75737.0
216,42228,1530.0,2.0,2.0,242680.0
217,42229,1112.0,2.0,1.0,795552.0
218,42230,3770.0,3.0,4.5,2008009.0
219,42231,1088.0,2.0,1.0,104585.0
220,42232,2885.0,3.0,3.0,819436.0
221,42233,1771.0,2.0,1.5,403732.0
222,42234,2726.0,3.0,3.0,860851.0
223,42235,2127.0,2.0,3.0,1158833.0
224,42236,1682.0,2.0,2.0,567259.0
225,42237,2071.0,4.0,2.0,584252.0
226,42238,1549.0,2.0,2.0,1030494.0
227,42239,1187.0,2.0,1.5,359398.0
228,42240,,0.0,0.0,9071900.0
229,42241,1435.0,4.0,2.0,209638.0
230,42242,2104.0,4.0,2.5,371467.0
231,42243,2567.0,4.0,2.5,335855.0
232,42244,7298.0,4.0,5.5,2034858.0
233,42245,1237.0,2.0,2.0,435524.0
234,42246,1730.0,3.0,2.5,430534.0
235,42247,2411.0,4.0,3.0,351762.0
236,42248,2141.0,3.0,2.5,840000.0
237,42249,1881.0,3.0,2.5,643338.0
238,42250,1062.0,3.0,1.0,178642.0
239,42251,1434.0,4.0,2.0,335500.0
240,42252,1262.0,3.0,2.0,394000.0
241,42253,3450.0,4.0,4.0,495515.0
242,42254,3013.0,3.0,2.5,602290.0
243,42255,5708.0,4.0,5.0,1621329.0
244,42256,5394.0,5.0,4.5,1432404.0
245,42257,5811.0,5.0,4.5,875838.0
246,42258,2062.0,2.0,2.5,886678.0
247,42259,2462.0,4.0,2.5,1103000.0
248,42260,1121.0,2.0,2.0,533030.0
249,42261,1704.0,4.0,2.0,696603.0
250,42262,1814.0,4.0,2.0,358889.0
251,42263,2214.0,4.0,2.5,967418.0
252,42264,1713.0,3.0,2.0,380287.0
253,42265,2558.0,5.0,3.0,748539.0
254,42266,1979.0,3.0,2.5,855000.0
255,42267,2467.0,3.0,3.0,463608.0
256,42268,1410.0,2.0,2.5,233971.0
257,42269,2728.0,4.0,3.0,1097485.0
258,42270,2944.0,3.0,3.0,684539.0
259,42271,3255.0,4.0,3.5,606480.0
260,42272,3586.0,5.0,4.0,636521.0
261,42273,3518.0,4.0,3.0,571005.0
262,42274,1463.0,3.0,2.5,583570.0
263,42275,1869.0,3.0,3.0,876160.0
264,42276,2141.0,3.0,2.5,648792.0
265,42277,3005.0,4.0,3.0,469958.0
266,42278,2781.0,5.0,2.5,144718.0
